inicio_del_viaje,num_trips
2024-06-16,7542
2024-06-17,14208
2024-06-18,14841
2024-06-19,15016
2024-06-20,13162
2024-06-21,12841
2024-06-22,9618
2024-06-23,7836
2024-06-24,11067
2024-06-25,12847
2024-06-26,14559
2024-06-27,12337
2024-06-28,10824
2024-06-29,8937
2024-06-30,8338
2024-07-01,13544
2024-07-02,12262
2024-07-03,13817
2024-07-04,14368
2024-07-05,13950
2024-07-06,9590
2024-07-07,8752
2024-07-08,12999
2024-07-09,13976
2024-07-10,13910
2024-07-11,11659
2024-07-12,13826
2024-07-13,10187
2024-07-14,8362
2024-07-15,11674
2024-07-16,13763
2024-07-17,12679
2024-07-18,12706
2024-07-19,12605
2024-07-20,7172
2024-07-21,7673
2024-07-22,13094
2024-07-23,12151
2024-07-24,12433
2024-07-25,11147
2024-07-26,10718
2024-07-27,8984
2024-07-28,7788
2024-07-29,12039
2024-07-30,12123
2024-07-31,13908
2024-08-01,13190
2024-08-02,13154
2024-08-03,9475
2024-08-04,8743
2024-08-05,11780
2024-08-06,14671
2024-08-07,14196
2024-08-08,13876
2024-08-09,13147
2024-08-10,9709
2024-08-11,8675
2024-08-12,14293
2024-08-13,14495
2024-08-14,11819
2024-08-15,15295
2024-08-16,14331
2024-08-17,8207
2024-08-18,8418
2024-08-19,14289
2024-08-20,15209
2024-08-21,15190
2024-08-22,15126
2024-08-23,14000
2024-08-24,10034
2024-08-25,8938
2024-08-26,15074
2024-08-27,15889
2024-08-28,15449
2024-08-29,13969
2024-08-30,13901
2024-08-31,10132
